camA,camB,weight,source
66.128,66.133,0.09758,gt
66.130,66.139,0.09521,gt
66.1,66.133,0.03438,gt
66.133,66.139,0.02836,gt
66.3,66.33,0.02796,gt
66.1,66.139,0.02234,gt
66.1,66.3,0.02208,gt
66.139,66.3,0.01824,gt
66.130,66.33,0.00068,gt
66.133,66.3,0.0003,gt
66.139,66.33,7e-05,gt
66.1,66.128,0.0,gt
66.128,66.3,0.0,gt
66.1,66.130,0.0,gt
66.128,66.130,0.0,gt
66.128,66.139,0.0,gt
66.130,66.3,0.0,gt
66.130,66.133,0.0,gt
66.1,66.33,0.0,gt
66.128,66.33,0.0,gt
66.133,66.33,0.0,gt
